City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Dhankutā,26.98,87.33,66.63,94,100,5.64,NP,1600988171
Xi'an,34.26,108.93,66.99,93,50,6.71,CN,1600988171
Port Lincoln,-34.73,135.87,51.22,62,11,23.04,AU,1600987896
Codrington,-38.27,141.97,44.11,86,100,6.76,AU,1600987897
Hay River,60.82,-115.8,55.4,82,20,8.05,CA,1600988172
Great Yarmouth,52.61,1.73,48.99,99,98,1.01,GB,1600988172
Norman Wells,65.28,-126.83,42.8,93,90,9.17,CA,1600987801
Byron Bay,-28.65,153.62,71.6,68,20,10.29,AU,1600987820
Eucaliptus,-17.58,-67.52,54.61,40,0,14.43,BO,1600988173
Arman',59.7,150.17,47.5,54,28,7.92,RU,1600987861
Srīvardhan,18.03,73.02,78.51,89,97,4.27,IN,1600988173
Sitka,57.05,-135.33,53.6,93,90,3.36,US,1600987838
Sosnovo-Ozerskoye,52.52,111.54,38.48,87,32,7.96,RU,1600988174
Ghauspur,28.14,69.08,86.45,25,10,9.51,PK,1600988174
Tambura,5.6,27.47,67.32,95,95,3.58,SS,1600988174
Wuwei,37.93,102.64,56.97,61,49,2.01,CN,1600988175
Huarmey,-10.07,-78.15,63.73,76,100,10.04,PE,1600988175
Tiébissou,7.16,-5.23,68.0,100,40,2.24,CI,1600988175
Hobart,-42.88,147.33,46.99,87,75,3.36,AU,1600987901
Aksarka,66.56,67.8,35.49,86,48,10.94,RU,1600988175
Philadelphia,39.95,-75.16,73.4,64,90,8.05,US,1600987946
Padang,-0.95,100.35,76.78,82,89,4.12,ID,1600987984
Udachny,66.42,112.4,33.8,80,0,6.71,RU,1600987843
Grindavik,63.84,-22.43,35.6,64,0,17.22,IS,1600987940
Kitimat,54.05,-128.65,53.01,94,100,3.69,CA,1600988176
Grand Gaube,-20.01,57.66,64.99,76,47,3.0,MU,1600987806
Nemuro,43.32,145.57,57.11,74,99,19.06,JP,1600988177
Zhalantun,48.0,122.72,47.75,74,0,3.96,CN,1600988177
Bereda,43.27,-7.54,52.0,99,71,5.99,ES,1600988177
Minna,9.61,6.56,73.4,94,20,11.41,NG,1600988178
Coahuayana Viejo,18.73,-103.68,78.8,83,75,19.46,MX,1600987955
Acaraú,-2.89,-40.12,78.22,76,1,17.69,BR,1600988178
Hong Kong,22.29,114.16,81.0,81,87,6.6,HK,1600987733
Ifo,6.81,3.2,77.0,88,20,3.36,NG,1600988179
Havelock,34.88,-76.9,72.0,82,74,4.94,US,1600988179
